no;tanggal;Data Inflasi
1;01/01/2003;0,380555556
2;01/02/2003;07.06
3;01/03/2003;07.17
4;01/04/2003;0,334722222
5;01/05/2003;07.15
6;01/06/2003;0,318055556
7;01/07/2003;06.27
8;01/08/2003;06.51
9;01/09/2003;06.33
10;01/10/2003;06.48
11;01/11/2003;05.53
12;01/12/2003;05.16
13;01/01/2004;0,223611111
14;01/02/2004;04.06
15;01/03/2004;05.11
16;01/04/2004;0,272222222
17;01/05/2004;06.47
18;01/06/2004;0,307638889
19;01/07/2004;07.02
20;01/08/2004;0,296527778
21;01/09/2004;06.27
22;01/10/2004;06.22
23;01/11/2004;06.18
24;01/12/2004;06.04
25;01/01/2005;07.32
26;01/02/2005;07.15
27;01/03/2005;0,389583333
28;01/04/2005;08.12
29;01/05/2005;07.04
30;01/06/2005;07.42
31;01/07/2005;0,35
32;01/08/2005;08.33
33;01/09/2005;09.06
34;01/10/2005;0,770138889
35;01/11/2005;18.38
36;01/12/2005;17.11
37;01/01/2006;17.03
38;01/02/2006;0,772222222
39;01/03/2006;0,676388889
40;01/04/2006;15.04
41;01/05/2006;15.06
42;01/06/2006;15.53
43;01/07/2006;15.15
44;01/08/2006;14.09
45;01/09/2006;14.55
46;01/10/2006;06.29
47;01/11/2006;05.27
48;01/12/2006;06.06
49;01/01/2007;06.26
50;01/02/2007;06.03
51;01/03/2007;06.52
52;01/04/2007;06.29
53;01/05/2007;06.01
54;01/06/2007;0,261805556
55;01/07/2007;06.06
56;01/08/2007;06.51
57;01/09/2007;0,315972222
58;01/10/2007;0,311111111
59;01/11/2007;0,299305556
60;01/12/2007;06.59
61;01/01/2008;07.36
62;01/02/2008;07.04
63;01/03/2008;08.17
64;01/04/2008;0,4
65;01/05/2008;10.38
66;01/06/2008;11.03
67;01/07/2008;11.09
68;01/08/2008;0,517361111
69;01/09/2008;12.14
70;01/10/2008;0,511805556
71;01/11/2008;0,505555556
72;01/12/2008;11.06
73;01/01/2009;09.17
74;01/02/2009;08.06
